Dataset,IR,Scheme,Recall,Precision,F1,BAcc,AUC,cost_r1,cost_r2,cost_r5,cost_r10,cost_r20,cost_r50
australian_credit,1.247557003257329,ASE_bias_prop_oof,0.8730830248545743,0.8362001799934428,0.8528364216602172,0.866052790622776,0.9391507167996911,0.13478260869565217,0.19130434782608696,0.36086956521739133,0.6434782608695653,1.2086956521739132,2.904347826086956
australian_credit,1.247557003257329,ASE_stacking_cost,0.9350608143839239,0.7716572291914757,0.8453225813525552,0.8565768870279153,0.9367239067815204,0.15217391304347827,0.18115942028985507,0.2681159420289855,0.4130434782608695,0.7028985507246377,1.572463768115942
australian_credit,1.247557003257329,ASE_type,0.8763088313061871,0.8364734040371585,0.8546223739459695,0.8676656938485824,0.938768035660518,0.13333333333333333,0.18840579710144928,0.3536231884057971,0.6289855072463768,1.1797101449275362,2.8318840579710143
australian_credit,1.247557003257329,AllNegative,0.0,0.0,0.0,0.5,0.5,0.4449275362318841,0.8898550724637682,2.2246376811594204,4.449275362318841,8.898550724637682,22.246376811594203
australian_credit,1.247557003257329,AllPositive,1.0,0.4449275362318841,0.6158391959798994,0.5,0.5,0.555072463768116,0.555072463768116,0.555072463768116,0.555072463768116,0.555072463768116,0.555072463768116
australian_credit,1.247557003257329,RandomBalance,0.9185616076150185,0.8217055916813167,0.8659449010122204,0.8770183294397718,0.9386823327247498,0.12753623188405797,0.16376811594202897,0.272463768115942,0.4536231884057971,0.8159420289855073,1.9028985507246379
banknote,1.2491803278688525,ASE_bias_prop_oof,0.9918032786885245,0.9871944031653948,0.9894130661484228,0.9906427814151257,0.9989113332994976,0.009481088254810883,0.013125414731254148,0.02405839416058394,0.04228002654280026,0.07872329130723292,0.18805308560053086
banknote,1.2491803278688525,ASE_stacking_cost,0.9934426229508198,0.9823694567554402,0.9878072060988927,0.9894930693013473,0.9990408257061812,0.01093828798938288,0.013852687458526875,0.02259588586595886,0.03716788321167883,0.06631187790311878,0.1537438619774386
banknote,1.2491803278688525,ASE_type,0.9918032786885245,0.9871944031653948,0.9894130661484228,0.9906427814151257,0.9989114037907368,0.009481088254810883,0.013125414731254148,0.02405839416058394,0.04228002654280026,0.07872329130723292,0.18805308560053086
banknote,1.2491803278688525,AllNegative,0.0,0.0,0.0,0.5,0.5,0.44460783012607835,0.8892156602521567,2.2230391506303913,4.4460783012607825,8.892156602521565,22.230391506303917
banknote,1.2491803278688525,AllPositive,1.0,0.44460783012607835,0.6155407984123349,0.5,0.5,0.5553921698739217,0.5553921698739217,0.5553921698739217,0.5553921698739217,0.5553921698739217,0.5553921698739217
banknote,1.2491803278688525,RandomBalance,0.9950819672131146,0.9704316494227493,0.9823640446265415,0.9850452835721576,0.9990296880903641,0.01604777704047777,0.018229595222295954,0.0247750497677505,0.035684140676841405,0.057502322495023225,0.12295686794956869
breast_cancer,1.6839622641509433,ASE_bias_prop_oof,0.9433001107419712,0.9498301646459405,0.9454748784729171,0.956215783070516,0.9904079299223418,0.04042850489054495,0.0615277130880298,0.12482533768048439,0.23032137866790867,0.44131346064275734,1.0742897065673032
breast_cancer,1.6839622641509433,ASE_stacking_cost,0.9623477297895903,0.9131036008801182,0.9347395472457769,0.9517333328134179,0.9894907992312184,0.05095482068001863,0.06502095947834187,0.10721937587331158,0.1775500698649278,0.31821145784816024,0.7401956217978574
breast_cancer,1.6839622641509433,ASE_type,0.9433001107419712,0.954586262206916,0.9477669736830258,0.9576242337747415,0.9904743707724382,0.03865859338612017,0.05975780158360503,0.1230554261760596,0.22855146716348393,0.4395435491383325,1.0725197950628784
breast_cancer,1.6839622641509433,AllNegative,0.0,0.0,0.0,0.5,0.5,0.3725818972209284,0.7451637944418568,1.8629094861046422,3.7258189722092845,7.451637944418569,18.629094861046422
breast_cancer,1.6839622641509433,AllPositive,1.0,0.3725818972209284,0.542879992413586,0.5,0.5,0.6274181027790716,0.6274181027790716,0.6274181027790716,0.6274181027790716,0.6274181027790716,0.6274181027790716
