Dataset,IR,Scheme,Recall,Precision,F1,BAcc,AUC,cost_r1,cost_r2,cost_r5,cost_r10,cost_r20,cost_r50
australian_credit,1.247557003257329,stacking_fixed5,0.9350608143839239,0.7716572291914757,0.8453225813525552,0.8565768870279153,0.9367239067815204,0.15217391304347827,0.18115942028985507,0.2681159420289855,0.4130434782608695,0.7028985507246377,1.572463768115942
australian_credit,1.247557003257329,stacking_matched,0.9350608143839239,0.7716572291914757,0.8453225813525552,0.8565768870279153,0.9367239067815204,0.13043478260869565,0.17681159420289855,0.2681159420289855,0.3492753623188406,0.553623188405797,0.555072463768116
banknote,1.2491803278688525,stacking_fixed5,0.9934426229508198,0.9823694567554402,0.9878072060988927,0.9894930693013473,0.9990408257061812,0.01093828798938288,0.013852687458526875,0.02259588586595886,0.03716788321167883,0.06631187790311878,0.1537438619774386
banknote,1.2491803278688525,stacking_matched,0.9934426229508198,0.9823694567554402,0.9878072060988927,0.9894930693013473,0.9990408257061812,0.008751161247511612,0.013852687458526875,0.02259588586595886,0.031352355673523555,0.05322362309223623,0.04657465162574652
breast_cancer,1.6839622641509433,stacking_fixed5,0.9623477297895903,0.9131036008801182,0.9347395472457769,0.9517333328134179,0.9894907992312184,0.05095482068001863,0.06502095947834187,0.10721937587331158,0.1775500698649278,0.31821145784816024,0.7401956217978574
breast_cancer,1.6839622641509433,stacking_matched,0.9623477297895903,0.9131036008801182,0.9347395472457769,0.9517333328134179,0.9894907992312184,0.04218289085545722,0.06679087098276665,0.10721937587331158,0.16702375407545414,0.23370594628163327,0.4482689023443564
digits_0,9.095505617977528,stacking_fixed5,0.9771428571428572,0.9485913312693498,0.9618989424206816,0.9854850088183422,0.9991710758377426,0.0077963478799133405,0.01002476013618075,0.016709996904982975,0.02785205818632002,0.05013618074899412,0.1169885484370164
digits_0,9.095505617977528,stacking_matched,0.9771428571428572,0.9485913312693498,0.9618989424206816,0.9854850088183422,0.9991710758377426,0.007239244815846488,0.011137418755803158,0.016709996904982975,0.016709996904982975,0.029518724852986695,0.0646131228721758
digits_1,8.873626373626374,stacking_fixed5,0.9728228228228228,0.9086264441591784,0.939219793956636,0.9808386559934548,0.9972410490986341,0.012797895388424638,0.01557722067471371,0.023915196533580936,0.03781182296502631,0.06560507582791705,0.1489848344165893
digits_1,8.873626373626374,stacking_matched,0.9728228228228228,0.9086264441591784,0.939219793956636,0.9808386559934548,0.9972410490986341,0.008901268956979264,0.01112658619622408,0.023915196533580936,0.04448932219127205,0.0678180129990715,0.11449860724233984
digits_8,9.327586206896552,stacking_fixed5,0.9084033613445378,0.7359628339140534,0.8121161191749428,0.9363384328090211,0.988545061329375,0.041162178891983904,0.05006035283194058,0.07675487465181059,0.12124574435159394,0.21022748375116063,0.4771727019498607
digits_8,9.327586206896552,stacking_matched,0.9084033613445378,0.7359628339140534,0.8121161191749428,0.9363384328090211,0.988545061329375,0.022807180439492418,0.03949396471680594,0.07675487465181059,0.1073290003095017,0.1523754255648406,0.26696533580934695
digits_9,8.983333333333333,stacking_fixed5,0.9333333333333333,0.8213168585488495,0.872975267866847,0.9552230248824676,0.993198569226261,0.027268647477561126,0.03394305168678428,0.05396626431445373,0.08733828536056948,0.15408232745280098,0.3543144537294955
digits_9,8.983333333333333,stacking_matched,0.9333333333333333,0.8213168585488495,0.872975267866847,0.9552230248824676,0.993198569226261,0.020581863200247602,0.03226709996904983,0.05396626431445373,0.07788765088207986,0.11459919529557412,0.1974744661095636
ecoli4,15.8,stacking_fixed5,0.8,0.67,0.7222222222222221,0.8842757936507937,0.9192832341269842,0.041439859525899916,0.05329236172080772,0.08884986830553117,0.14811237928007023,0.26663740122914836,0.6222124670763828
ecoli4,15.8,stacking_matched,0.8,0.67,0.7222222222222221,0.8842757936507937,0.9192832341269842,0.04157155399473222,0.05935030728709394,0.08884986830553117,0.15706760316066726,0.290342405618964,0.5173836698858648
german_credit,2.3333333333333335,stacking_fixed5,0.8633333333333333,0.42082643429497474,0.5656612677196015,0.6766666666666667,0.7760238095238094,0.398,0.43899999999999995,0.562,0.767,1.177,2.407
german_credit,2.3333333333333335,stacking_matched,0.8633333333333333,0.42082643429497474,0.5656612677196015,0.6766666666666667,0.7760238095238094,0.242,0.381,0.562,0.7230000000000001,0.7,0.7
heart_disease,1.1956521739130435,stacking_fixed5,0.9058201058201059,0.6815202683495366,0.7747880142457305,0.7741221741221741,0.8935305435305436,0.23770491803278687,0.28060109289617485,0.40928961748633874,0.6237704918032787,1.0527322404371584,2.3396174863387977
heart_disease,1.1956521739130435,stacking_matched,0.9058201058201059,0.6815202683495366,0.7747880142457305,0.7741221741221741,0.8935305435305436,0.19158469945355192,0.2608743169398907,0.40928961748633874,0.5878142076502733,0.5581967213114754,0.5445901639344263
horse_colic,1.7444444444444445,stacking_fixed5,0.9111111111111111,0.5736724932464643,0.700905757166235,0.7580757168458782,0.9026881720430108,0.28359183673469385,0.3161632653061225,0.41387755102040813,0.576734693877551,0.9024489795918367,1.8795918367346935
horse_colic,1.7444444444444445,stacking_matched,0.9111111111111111,0.5736724932464643,0.700905757166235,0.7580757168458782,0.9026881720430108,0.16187755102040816,0.2755918367346939,0.41387755102040813,0.4381224489795918,0.5427755102040817,0.5866122448979592
ionosphere,1.7857142857142858,stacking_fixed5,0.9123076923076923,0.8606763925729443,0.8848371671901084,0.9139316239316241,0.9682803418803418,0.08551307847082494,0.11690140845070422,0.21106639839034208,0.36800804828973843,0.6818913480885312,1.6235412474849096
ionosphere,1.7857142857142858,stacking_matched,0.9123076923076923,0.8606763925729443,0.8848371671901084,0.9139316239316241,0.9682803418803418,0.07698189134808853,0.11122736418511066,0.21106639839034208,0.42221327967806843,0.505271629778672,0.6239034205231389
iris_setosa,2.0,stacking_fixed5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
iris_setosa,2.0,stacking_matched,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pima_diabetes,1.8656716417910448,stacking_fixed5,0.8655485674353599,0.5232412014586081,0.6509684410615175,0.7187742837176799,0.8222103424178895,0.32560054324760207,0.3724896019013666,0.5131567778626602,0.7476020711314829,1.2164926576691282,2.6231644172820645
pima_diabetes,1.8656716417910448,stacking_matched,0.8655485674353599,0.5232412014586081,0.6509684410615175,0.7187742837176799,0.8222103424178895,0.24745777098718275,0.33339275103980986,0.5131567778626602,0.5391053391053391,0.648450895509719,0.6510482981071217
sonar,1.1443298969072164,stacking_fixed5,0.9489473684210527,0.6585436402677782,0.7766489204377403,0.7586634075306844,0.9054129394632827,0.2547038327526132,0.2786295005807201,0.35040650406504065,0.4700348432055749,0.7092915214866433,1.427061556329849
sonar,1.1443298969072164,stacking_matched,0.9489473684210527,0.6585436402677782,0.7766489204377403,0.7586634075306844,0.9054129394632827,0.18199767711962833,0.2782810685249709,0.35040650406504065,0.3981416957026713,0.5664343786295005,0.4905923344947736
spambase,1.5377826806398236,stacking_fixed5,0.9547661446204891,0.8796934883928819,0.9156061609059707,0.9348764926431855,0.9822602907686347,0.06933342774866638,0.08715526601520088,0.14062078081480434,0.22972997214747676,0.40794835481282166,0.9426035028088562
spambase,1.5377826806398236,stacking_matched,0.9547661446204891,0.8796934883928819,0.9156061609059707,0.9348764926431855,0.9822602907686347,0.06368054572062502,0.09084950195911816,0.14062078081480434,0.20039064344049473,0.23777132606335272,0.3807909644526271
titanic,1.605263157894737,stacking_fixed5,0.9971014492753623,0.3831446134051969,0.5535667453448727,0.49855072463768113,0.47993913832712265,0.617287050404871,0.6184106459104889,0.621781432427343,0.6273994099554328,0.6386353650116126,0.6723432301801519
titanic,1.605263157894737,stacking_matched,0.9971014492753623,0.3831446134051969,0.5535667453448727,0.49855072463768113,0.47993913832712265,0.3849601406063649,0.656587784822045,0.621781432427343,0.616163454899253,0.616163454899253,0.616163454899253
transfusion,3.202247191011236,stacking_fixed5,0.7752380952380953,0.33093313076503356,0.46262126411306725,0.6402506265664161,0.7282623224728487,0.4305145413870246,0.4839910514541387,0.644420581655481,0.9118031319910515,1.4465682326621923,3.050863534675615
transfusion,3.202247191011236,stacking_matched,0.7752380952380953,0.33093313076503356,0.46262126411306725,0.6402506265664161,0.7282623224728487,0.2286353467561521,0.3595973154362416,0.644420581655481,0.8033646532438479,0.7620402684563758,0.7620402684563758
wine,2.7083333333333335,stacking_fixed5,0.9800000000000001,0.9484848484848485,0.9617680565048985,0.9784615384615385,0.9984615384615385,0.02222222222222222,0.02777777777777778,0.04444444444444444,0.07222222222222222,0.1277777777777778,0.2944444444444444
wine,2.7083333333333335,stacking_matched,0.9800000000000001,0.9484848484848485,0.9617680565048985,0.9784615384615385,0.9984615384615385,0.01111111111111111,0.02222222222222222,0.04444444444444444,0.07222222222222222,0.1277777777777778,0.2944444444444444
yeast4,28.098039215686274,stacking_fixed5,0.44727272727272727,0.3125433390139273,0.3638047138047138,0.7044543261616433,0.9122199086944098,0.055924105924105925,0.07479069979069979,0.1313904813904814,0.22572345072345074,0.4143893893893894,0.9803872053872054
yeast4,28.098039215686274,stacking_matched,0.44727272727272727,0.3125433390139273,0.3638047138047138,0.7044543261616433,0.9122199086944098,0.032341432341432344,0.0667053417053417,0.1313904813904814,0.2035057785057785,0.3422922922922923,0.3504914004914005
yeast5,32.72727272727273,stacking_fixed5,0.8805555555555555,0.6299116569704805,0.7159036615558355,0.93125,0.971875,0.020884520884520884,0.02425834925834926,0.034379834379834384,0.05124897624897625,0.08498725998725999,0.1862021112021112
yeast5,32.72727272727273,stacking_matched,0.8805555555555555,0.6299116569704805,0.7159036615558355,0.93125,0.971875,0.015501865501865502,0.02156929656929657,0.034379834379834384,0.04110701610701611,0.06941714441714442,0.11114068614068615
yeast6,41.4,stacking_fixed5,0.5714285714285714,0.45166666666666666,0.4916934046345811,0.7767416094226738,0.8689247788364838,0.02762990262990263,0.03773773773773774,0.06806124306124306,0.11860041860041859,0.21967876967876965,0.5229138229138229
yeast6,41.4,stacking_matched,0.5714285714285714,0.45166666666666666,0.4916934046345811,0.7767416094226738,0.8689247788364838,0.022913822913822914,0.03840658840658841,0.06806124306124306,0.1085062335062335,0.2048844298844299,0.4946855946855947
